County,Population
Los Angeles,10039107
San Diego,3338330
Orange,3175692
Riverside,2470546
San Bernardino,2180085
Santa Clara,1927852
Alameda,1671329
Sacramento,1552058
Contra Costa,1153526
Fresno,999101
Kern,900202
San Francisco,881549
Ventura,846006
San Mateo,766573
San Joaquin,762148
Stanislaus,550660
Sonoma,494336
Tulare,466195
Solano,447643
Santa Barbara,446499
Monterey,434061
Placer,398329
San Luis Obispo,283111
Merced,277680
Santa Cruz,273213
Marin,258826
Yolo,220500
Butte,219186
El Dorado,192843
Imperial,181215
Shasta,180080
Madera,157327
Kings,152940
Napa,137744
Humboldt,135558
Nevada,99755
Sutter,96971
Mendocino,86749
Yuba,78668
Tehama,65084
Lake,64386
San Benito,62808
Tuolumne,54478
Calaveras,45905
Siskiyou,43539
Amador,39752
Lassen,30573
Glenn,28393
Del Norte,27812
Colusa,21547
Plumas,18807
Inyo,18039
Mariposa,17203
Mono,14444
Trinity,12285
Modoc,8841
Sierra,3005
Alpine,1129
