sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline


,US-CA,,2020-02-15,1,1,19,1,-1,0
,US-CA,,2020-02-16,5,0,31,1,-1,-1
,US-CA,,2020-02-17,9,1,44,-12,-38,8
,US-CA,,2020-02-18,0,0,16,3,0,0
,US-CA,,2020-02-19,0,0,13,1,0,0
,US-CA,,2020-02-20,2,1,12,1,0,0
,US-CA,,2020-02-21,1,0,8,0,1,0
,US-CA,,2020-02-22,0,0,-3,-4,1,1
,US-CA,,2020-02-23,4,1,16,3,2,0
,US-CA,,2020-02-24,2,0,12,1,4,0
,US-CA,,2020-02-25,3,1,20,3,3,-1
,US-CA,,2020-02-26,5,3,16,3,2,-1
,US-CA,,2020-02-27,5,3,14,3,2,-1
,US-CA,,2020-02-28,4,4,10,2,3,-1
,US-CA,,2020-02-29,4,4,15,1,2,-1
,US-CA,,2020-03-01,5,3,-4,-1,1,0
,US-CA,,2020-03-02,6,6,8,0,4,-1
,US-CA,,2020-03-03,8,9,30,2,3,-1
,US-CA,,2020-03-04,4,6,15,-1,2,0
,US-CA,,2020-03-05,5,7,11,-1,2,0
,US-CA,,2020-03-06,2,5,7,-4,2,0
,US-CA,,2020-03-07,0,4,0,-6,2,1
,US-CA,,2020-03-08,2,3,11,-4,1,0
,US-CA,,2020-03-09,3,6,12,-7,1,1
,US-CA,,2020-03-10,-1,4,-10,-13,-3,3
,US-CA,,2020-03-11,3,9,12,-10,-3,2
,US-CA,,2020-03-12,-3,13,-15,-18,-6,4
,US-CA,,2020-03-13,-3,31,-20,-21,-8,5
,US-CA,,2020-03-14,-13,23,-37,-24,-6,6
,US-CA,,2020-03-15,-16,11,-25,-23,-8,6
,US-CA,,2020-03-16,-12,21,-27,-31,-24,11
,US-CA,,2020-03-17,-23,11,-12,-34,-33,14
,US-CA,,2020-03-18,-29,4,-20,-39,-38,17
,US-CA,,2020-03-19,-32,3,-20,-43,-40,18
,US-CA,,2020-03-20,-40,-3,-22,-46,-44,21
,US-CA,,2020-03-21,-48,-13,-22,-47,-33,16
,US-CA,,2020-03-22,-50,-22,-24,-52,-36,14
,US-CA,,2020-03-23,-41,-18,-28,-52,-49,21
,US-CA,,2020-03-24,-42,-18,-31,-52,-50,22
,US-CA,,2020-03-25,-42,-19,-30,-52,-51,22
,US-CA,,2020-03-26,-42,-18,-28,-53,-51,23
,US-CA,,2020-03-27,-44,-17,-29,-54,-50,24
,US-CA,,2020-03-28,-50,-20,-48,-53,-37,18
,US-CA,,2020-03-29,-50,-24,-38,-54,-39,15
,US-CA,,2020-03-30,-40,-20,-24,-53,-51,21
,US-CA,,2020-03-31,-40,-18,-23,-52,-53,22
,US-CA,,2020-04-01,-39,-14,-25,-51,-52,22
,US-CA,,2020-04-02,-41,-15,-30,-54,-53,23
,US-CA,,2020-04-03,-42,-12,-31,-53,-51,23
,US-CA,,2020-04-04,-50,-18,-54,-54,-39,18
,US-CA,,2020-04-05,-53,-27,-61,-59,-42,16
,US-CA,,2020-04-06,-46,-23,-54,-60,-54,24
,US-CA,,2020-04-07,-47,-23,-41,-57,-55,24
,US-CA,,2020-04-08,-47,-22,-43,-58,-55,24
,US-CA,,2020-04-09,-49,-24,-54,-62,-56,26
,US-CA,,2020-04-10,-47,-19,-44,-59,-56,26
,US-CA,,2020-04-11,-48,-14,-46,-53,-40,18
,US-CA,,2020-04-12,-62,-34,-55,-58,-44,16
,US-CA,,2020-04-13,-45,-25,-36,-55,-52,22
,US-CA,,2020-04-14,-43,-21,-25,-52,-52,22
,US-CA,,2020-04-15,-45,-17,-28,-51,-52,22
,US-CA,,2020-04-16,-54,-16,-34,-53,-52,23
,US-CA,,2020-04-17,-56,-17,-39,-54,-50,24
,US-CA,,2020-04-18,-59,-18,-47,-50,-35,17
,US-CA,,2020-04-19,-59,-21,-39,-52,-37,14
,US-CA,,2020-04-20,-54,-19,-34,-53,-50,21
,US-CA,,2020-04-21,-53,-17,-25,-52,-51,21
,US-CA,,2020-04-22,-53,-16,-25,-52,-51,22
,US-CA,,2020-04-23,-53,-15,-28,-52,-51,22
,US-CA,,2020-04-24,-54,-14,-29,-52,-50,23
,US-CA,,2020-04-25,-56,-13,-35,-47,-34,15
,US-CA,,2020-04-26,-56,-17,-31,-50,-36,13
,US-CA,,2020-04-27,-51,-15,-23,-51,-49,20
,US-CA,,2020-04-28,-51,-14,-19,-49,-50,13
,US-CA,,2020-04-29,-49,-15,-27,-50,-50,21
,US-CA,,2020-04-30,-47,-12,-24,-50,-50,21
,US-CA,,2020-05-01,-47,-9,-23,-48,-48,21
,US-CA,,2020-05-02,-50,-8,-30,-43,-32,14
,US-CA,,2020-05-03,-50,-12,-21,-45,-32,12
,US-CA,,2020-05-04,-44,-10,-17,-48,-47,19
,US-CA,,2020-05-05,-44,-6,-14,-46,-48,19
,US-CA,,2020-05-06,-46,-10,-17,-47,-48,20
,US-CA,,2020-05-07,-46,-8,-18,-48,-49,20
,US-CA,,2020-05-08,-46,-5,-18,-46,-46,20
,US-CA,,2020-05-09,-46,4,-23,-40,-29,12
,US-CA,,2020-05-10,-47,0,-22,-40,-28,9
,US-CA,,2020-05-11,-45,-14,-20,-48,-46,18
,US-CA,,2020-05-12,-45,-10,-17,-46,-47,19
,US-CA,,2020-05-13,-44,-10,-16,-46,-47,19
,US-CA,,2020-05-14,-45,-10,-17,-47,-47,19
,US-CA,,2020-05-15,-45,-9,-11,-46,-45,19
,US-CA,,2020-05-16,-47,-7,-14,-41,-27,12
,US-CA,,2020-05-17,-47,-13,-16,-44,-28,11
,US-CA,,2020-05-18,-43,-13,-24,-49,-45,18
,US-CA,,2020-05-19,-42,-9,-7,-46,-45,18
,US-CA,,2020-05-20,-41,-7,-4,-45,-45,18
,US-CA,,2020-05-21,-40,-6,-5,-45,-45,18
,US-CA,,2020-05-22,-41,-4,-3,-43,-43,18
,US-CA,,2020-05-23,-44,-3,-4,-38,-24,10
,US-CA,,2020-05-24,-43,-6,13,-39,-26,8
,US-CA,,2020-05-25,-43,-8,32,-51,-72,22
,US-CA,,2020-05-26,-40,-8,-3,-44,-43,16
,US-CA,,2020-05-27,-39,-8,-4,-44,-43,17
,US-CA,,2020-05-28,-39,-7,-7,-44,-43,17
,US-CA,,2020-05-29,-40,-8,-9,-43,-41,17
,US-CA,,2020-05-30,-42,-7,-14,-38,-17,11
,US-CA,,2020-05-31,-43,-13,-5,-40,-19,9
,US-CA,,2020-06-01,-41,-12,-16,-45,-42,17
,US-CA,,2020-06-02,-39,-6,-8,-44,-42,17
,US-CA,,2020-06-03,-36,-3,-5,-43,-42,16
,US-CA,,2020-06-04,-35,-3,-6,-43,-42,16
,US-CA,,2020-06-05,-36,-5,-10,-42,-40,16
,US-CA,,2020-06-06,-37,-4,-6,-35,-17,9
,US-CA,,2020-06-07,-35,-7,7,-35,-18,8
,US-CA,,2020-06-08,-32,-7,3,-41,-40,14
,US-CA,,2020-06-09,-32,-4,10,-41,-40,15
,US-CA,,2020-06-10,-31,-5,7,-41,-41,15
,US-CA,,2020-06-11,-31,-5,4,-40,-41,15
,US-CA,,2020-06-12,-32,-6,2,-39,-39,14
,US-CA,,2020-06-13,-34,-4,7,-31,-15,7
,US-CA,,2020-06-14,-32,-8,19,-31,-16,6
,US-CA,,2020-06-15,-29,-8,7,-39,-39,13
,US-CA,,2020-06-16,-29,-5,15,-38,-40,14
,US-CA,,2020-06-17,-29,-6,12,-38,-41,14
,US-CA,,2020-06-18,-28,-5,9,-39,-41,14
,US-CA,,2020-06-19,-30,-4,9,-38,-40,12
,US-CA,,2020-06-20,-31,1,6,-32,-14,7
,US-CA,,2020-06-21,-32,-4,10,-34,-14,5
,US-CA,,2020-06-22,-29,-11,8,-40,-42,13
,US-CA,,2020-06-23,-29,-7,14,-38,-42,14
Alameda County,,06001,2020-02-15,1,0,22,1,0,-1
Alameda County,,06001,2020-02-16,7,0,24,5,1,-2
Alameda County,,06001,2020-02-17,13,1,55,-31,-53,11
Alameda County,,06001,2020-02-18,-2,3,21,3,0,0
Alameda County,,06001,2020-02-19,-1,0,14,1,0,0
Alameda County,,06001,2020-02-20,1,1,13,2,0,0
Alameda County,,06001,2020-02-21,1,1,8,-1,3,0
Alameda County,,06001,2020-02-22,1,3,18,-2,4,-1
Alameda County,,06001,2020-02-23,4,4,26,15,3,-1
Alameda County,,06001,2020-02-24,0,0,9,0,4,0
Alameda County,,06001,2020-02-25,1,2,26,5,3,-1
Alameda County,,06001,2020-02-26,2,2,20,3,2,-1
Alameda County,,06001,2020-02-27,4,4,23,4,2,-1
Alameda County,,06001,2020-02-28,3,5,8,0,4,0
Alameda County,,06001,2020-02-29,2,7,14,-4,3,-1
Alameda County,,06001,2020-03-01,6,9,15,1,4,0
Alameda County,,06001,2020-03-02,4,7,7,-1,3,0
Alameda County,,06001,2020-03-03,5,12,41,0,1,-1
Alameda County,,06001,2020-03-04,1,6,23,-3,1,0
Alameda County,,06001,2020-03-05,1,6,12,-5,-1,1
Alameda County,,06001,2020-03-06,1,5,-1,-7,0,2
Alameda County,,06001,2020-03-07,-6,4,-23,-14,1,3
Alameda County,,06001,2020-03-08,-2,4,14,-8,1,1
Alameda County,,06001,2020-03-09,0,6,18,-15,-6,4
Alameda County,,06001,2020-03-10,-1,8,29,-15,-9,4
Alameda County,,06001,2020-03-11,-1,7,31,-18,-12,5
Alameda County,,06001,2020-03-12,-1,16,26,-25,-16,7
Alameda County,,06001,2020-03-13,-6,26,3,-30,-17,8
Alameda County,,06001,2020-03-14,-25,11,-55,-39,-8,9
Alameda County,,06001,2020-03-15,-25,6,-41,-36,-11,8
Alameda County,,06001,2020-03-16,-6,39,-18,-44,-36,14
Alameda County,,06001,2020-03-17,-44,-4,-10,-61,-59,26
Alameda County,,06001,2020-03-18,-46,-10,-10,-64,-60,27
Alameda County,,06001,2020-03-19,-45,-9,16,-66,-61,27
Alameda County,,06001,2020-03-20,-49,-10,0,-65,-59,28
Alameda County,,06001,2020-03-21,-58,-18,-10,-60,-39,18
Alameda County,,06001,2020-03-22,-57,-24,-1,-61,-40,15
Alameda County,,06001,2020-03-23,-49,-23,-23,-71,-63,28
Alameda County,,06001,2020-03-24,-51,-21,-33,-72,-65,30
Alameda County,,06001,2020-03-25,-49,-20,-4,-70,-64,29
Alameda County,,06001,2020-03-26,-49,-19,-2,-71,-64,29
Alameda County,,06001,2020-03-27,-52,-20,-11,-70,-62,30
Alameda County,,06001,2020-03-28,-61,-26,-49,-68,-44,20
Alameda County,,06001,2020-03-29,-58,-27,-14,-64,-44,17
Alameda County,,06001,2020-03-30,-48,-23,-1,-71,-64,27
Alameda County,,06001,2020-03-31,-48,-18,6,-70,-66,28
Alameda County,,06001,2020-04-01,-48,-18,0,-70,-65,28
Alameda County,,06001,2020-04-02,-49,-18,-1,-72,-66,29
Alameda County,,06001,2020-04-03,-51,-17,-10,-70,-64,30
Alameda County,,06001,2020-04-04,-62,-28,-60,-69,-47,21
Alameda County,,06001,2020-04-05,-65,-36,-61,-72,-49,18
Alameda County,,06001,2020-04-06,-53,-29,-46,-75,-67,30
Alameda County,,06001,2020-04-07,-50,-20,4,-70,-66,29
Alameda County,,06001,2020-04-08,-53,-24,-13,-71,-66,29
Alameda County,,06001,2020-04-09,-53,-23,-11,-72,-67,30
Alameda County,,06001,2020-04-10,-53,-21,-6,-70,-65,31
Alameda County,,06001,2020-04-11,-59,-23,-30,-65,-45,19
Alameda County,,06001,2020-04-12,-67,-38,-22,-65,-46,16
Alameda County,,06001,2020-04-13,-51,-28,-2,-70,-65,28
Alameda County,,06001,2020-04-14,-50,-23,12,-68,-65,29
Alameda County,,06001,2020-04-15,-54,-22,3,-68,-64,28
Alameda County,,06001,2020-04-16,-64,-22,-8,-71,-65,30
Alameda County,,06001,2020-04-17,-65,-21,-15,-70,-62,30
Alameda County,,06001,2020-04-18,-69,-21,-12,-61,-40,18
Alameda County,,06001,2020-04-19,-68,-27,-3,-63,-41,15
Alameda County,,06001,2020-04-20,-63,-25,-13,-70,-64,28
Alameda County,,06001,2020-04-21,-63,-21,6,-70,-64,29
Alameda County,,06001,2020-04-22,-63,-23,10,-69,-64,28
Alameda County,,06001,2020-04-23,-62,-21,10,-70,-64,29
Alameda County,,06001,2020-04-24,-64,-20,5,-68,-61,29
Alameda County,,06001,2020-04-25,-67,-21,-3,-60,-39,18
Alameda County,,06001,2020-04-26,-66,-23,7,-61,-40,15
Alameda County,,06001,2020-04-27,-61,-23,3,-68,-62,27
Alameda County,,06001,2020-04-28,-61,-19,11,-67,-64,20
Alameda County,,06001,2020-04-29,-60,-23,-4,-67,-63,28
Alameda County,,06001,2020-04-30,-57,-20,8,-68,-63,28
Alameda County,,06001,2020-05-01,-57,-16,3,-65,-60,28
Alameda County,,06001,2020-05-02,-62,-18,-7,-58,-37,17
Alameda County,,06001,2020-05-03,-60,-20,18,-57,-36,14
Alameda County,,06001,2020-05-04,-54,-19,6,-67,-60,26
Alameda County,,06001,2020-05-05,-54,-13,14,-66,-61,26
Alameda County,,06001,2020-05-06,-55,-17,16,-66,-61,26
Alameda County,,06001,2020-05-07,-55,-14,19,-66,-61,27
Alameda County,,06001,2020-05-08,-56,-11,10,-64,-57,26
Alameda County,,06001,2020-05-09,-58,-6,6,-54,-33,14
Alameda County,,06001,2020-05-10,-58,-11,4,-54,-32,11
Alameda County,,06001,2020-05-11,-56,-24,-20,-68,-59,26
Alameda County,,06001,2020-05-12,-55,-14,3,-66,-60,26
Alameda County,,06001,2020-05-13,-54,-17,-2,-65,-59,26
Alameda County,,06001,2020-05-14,-54,-15,4,-67,-60,26
Alameda County,,06001,2020-05-15,-55,-14,14,-65,-56,25
Alameda County,,06001,2020-05-16,-58,-15,18,-56,-31,14
Alameda County,,06001,2020-05-17,-59,-22,-6,-60,-31,14
Alameda County,,06001,2020-05-18,-52,-18,1,-68,-58,25
Alameda County,,06001,2020-05-19,-51,-13,16,-66,-58,25
Alameda County,,06001,2020-05-20,-50,-14,19,-65,-57,25
Alameda County,,06001,2020-05-21,-49,-11,26,-65,-58,25
Alameda County,,06001,2020-05-22,-50,-8,25,-63,-54,24
Alameda County,,06001,2020-05-23,-55,-11,24,-54,-27,13
Alameda County,,06001,2020-05-24,-53,-15,38,-53,-28,10
Alameda County,,06001,2020-05-25,-52,-15,55,-72,-79,27
Alameda County,,06001,2020-05-26,-48,-11,23,-65,-56,24
Alameda County,,06001,2020-05-27,-48,-13,19,-64,-55,24
Alameda County,,06001,2020-05-28,-48,-11,25,-64,-55,24
Alameda County,,06001,2020-05-29,-50,-12,21,-60,-52,24
Alameda County,,06001,2020-05-30,-56,-17,-1,-54,-20,14
Alameda County,,06001,2020-05-31,-55,-21,24,-50,-21,12
Alameda County,,06001,2020-06-01,-53,-21,7,-63,-56,24
Alameda County,,06001,2020-06-02,-53,-15,16,-65,-56,25
Alameda County,,06001,2020-06-03,-51,-13,13,-63,-55,24
Alameda County,,06001,2020-06-04,-50,-11,23,-64,-55,24
Alameda County,,06001,2020-06-05,-52,-11,11,-62,-51,23
Alameda County,,06001,2020-06-06,-55,-11,24,-52,-19,12
Alameda County,,06001,2020-06-07,-53,-17,32,-50,-21,10
Alameda County,,06001,2020-06-08,-47,-14,26,-61,-53,22
Alameda County,,06001,2020-06-09,-47,-9,40,-61,-54,22
Alameda County,,06001,2020-06-10,-47,-13,37,-61,-53,22
Alameda County,,06001,2020-06-11,-47,-14,37,-62,-54,23
Alameda County,,06001,2020-06-12,-49,-15,20,-60,-50,22
Alameda County,,06001,2020-06-13,-52,-14,33,-49,-16,10
Alameda County,,06001,2020-06-14,-52,-20,43,-48,-18,9
Alameda County,,06001,2020-06-15,-46,-20,23,-60,-52,21
Alameda County,,06001,2020-06-16,-46,-14,44,-60,-53,21
Alameda County,,06001,2020-06-17,-46,-15,40,-61,-53,21
Alameda County,,06001,2020-06-18,-44,-12,39,-61,-54,21
Alameda County,,06001,2020-06-19,-45,-10,56,-57,-50,19
Alameda County,,06001,2020-06-20,-50,-10,32,-49,-14,9
Alameda County,,06001,2020-06-21,-50,-15,35,-47,-14,7
Alameda County,,06001,2020-06-22,-44,-19,26,-60,-54,20
Alameda County,,06001,2020-06-23,-43,-13,39,-60,-54,21
Amador County,,06005,2020-02-15,13,2,,,-3,
Amador County,,06005,2020-02-16,32,6,,,3,
Amador County,,06005,2020-02-17,17,5,,,-33,
Amador County,,06005,2020-02-18,3,1,,,4,-1
Amador County,,06005,2020-02-19,6,2,,,0,0
Amador County,,06005,2020-02-20,13,3,,,0,-1
Amador County,,06005,2020-02-21,1,5,,,1,-1
Amador County,,06005,2020-02-22,10,1,,,-6,
Amador County,,06005,2020-02-23,11,2,,,0,
Amador County,,06005,2020-02-24,5,9,,,2,0
Amador County,,06005,2020-02-25,13,2,,,6,-1
Amador County,,06005,2020-02-26,14,1,,,0,-1
Amador County,,06005,2020-02-27,10,7,,,3,-2
Amador County,,06005,2020-02-28,11,5,,,5,-2
Amador County,,06005,2020-02-29,13,0,,,1,
Amador County,,06005,2020-03-01,10,4,,,1,
Amador County,,06005,2020-03-02,10,9,,,5,-1
Amador County,,06005,2020-03-03,16,10,,,7,-2
Amador County,,06005,2020-03-04,12,3,,,2,-1
Amador County,,06005,2020-03-05,13,5,,,5,-2
Amador County,,06005,2020-03-06,5,7,,,3,0
Amador County,,06005,2020-03-07,7,3,,,-3,
Amador County,,06005,2020-03-08,21,6,,,3,
Amador County,,06005,2020-03-09,4,10,,,5,1
Amador County,,06005,2020-03-10,9,7,,,9,0
Amador County,,06005,2020-03-11,8,6,,,2,0
Amador County,,06005,2020-03-12,13,16,,,2,-1
Amador County,,06005,2020-03-13,8,25,,,2,0
Amador County,,06005,2020-03-14,-5,10,,,-6,
Amador County,,06005,2020-03-15,-20,4,,,-12,
Amador County,,06005,2020-03-16,-17,13,,,-26,
Amador County,,06005,2020-03-17,-10,20,,,-23,
Amador County,,06005,2020-03-18,-12,16,,,-29,
Amador County,,06005,2020-03-19,-15,16,,,-31,
Amador County,,06005,2020-03-20,-32,7,,,-37,
Amador County,,06005,2020-03-21,-44,-5,,,-32,
Amador County,,06005,2020-03-22,-41,-15,,,-39,
Amador County,,06005,2020-03-23,-36,-6,,,-40,
Amador County,,06005,2020-03-24,-35,-8,,,-39,
Amador County,,06005,2020-03-25,-34,-19,,,-41,
Amador County,,06005,2020-03-26,-30,-8,,,-43,
Amador County,,06005,2020-03-27,-32,-2,,,-38,
Amador County,,06005,2020-03-28,-46,-17,-50,,-41,
Amador County,,06005,2020-03-29,-41,-20,,,-44,
Amador County,,06005,2020-03-30,-32,-5,,,-39,
Amador County,,06005,2020-03-31,-25,3,,,-41,
Amador County,,06005,2020-04-01,-27,-11,,,-39,
Amador County,,06005,2020-04-02,-27,-5,,,-40,
Amador County,,06005,2020-04-03,-32,-15,,,-41,
Amador County,,06005,2020-04-04,-49,-30,-64,,-41,
Amador County,,06005,2020-04-05,-56,-44,,,-52,
Amador County,,06005,2020-04-06,-41,,,,-45,
Amador County,,06005,2020-04-07,,,,,-42,
Amador County,,06005,2020-04-08,,-31,,,-43,
Amador County,,06005,2020-04-09,-33,,,,-45,
Amador County,,06005,2020-04-10,-40,-25,,,-46,
Amador County,,06005,2020-04-11,-35,-26,,,-39,
Amador County,,06005,2020-04-12,-62,-40,,,-52,
Amador County,,06005,2020-04-13,-28,-10,,,-43,
Amador County,,06005,2020-04-14,,-5,,,-41,
Amador County,,06005,2020-04-15,-18,-1,,,-41,
Amador County,,06005,2020-04-16,-30,2,,,-41,
Amador County,,06005,2020-04-17,-38,0,,,-44,
Amador County,,06005,2020-04-18,-38,-5,-41,,-41,
Amador County,,06005,2020-04-19,-33,-8,,,-43,
Amador County,,06005,2020-04-20,-35,-3,,,-41,
Amador County,,06005,2020-04-21,-34,1,,,-38,
Amador County,,06005,2020-04-22,-27,-1,,,-39,
Amador County,,06005,2020-04-23,-31,4,,,-40,
Amador County,,06005,2020-04-24,-34,-3,,,-44,
Amador County,,06005,2020-04-25,-35,-1,,,-39,
Amador County,,06005,2020-04-26,-30,1,,,-43,
Amador County,,06005,2020-04-27,-29,0,,,-37,
Amador County,,06005,2020-04-28,-27,0,,,-36,
Amador County,,06005,2020-04-29,-27,4,,,-37,
Amador County,,06005,2020-04-30,-24,11,,,-40,
Amador County,,06005,2020-05-01,-26,9,,,-39,
Amador County,,06005,2020-05-02,-28,0,,,-35,
Amador County,,06005,2020-05-03,-19,6,,,-37,
Amador County,,06005,2020-05-04,-23,7,,,-36,
Amador County,,06005,2020-05-05,,15,,,-36,
Amador County,,06005,2020-05-06,-23,6,,,-36,
Amador County,,06005,2020-05-07,-20,16,,,-36,
Amador County,,06005,2020-05-08,-27,8,,,-37,
Amador County,,06005,2020-05-09,-18,25,,,-34,
Amador County,,06005,2020-05-10,-19,,,,-37,
Amador County,,06005,2020-05-11,-25,0,,,-34,
Amador County,,06005,2020-05-12,,2,,,-32,
Amador County,,06005,2020-05-13,-20,3,,,-33,
Amador County,,06005,2020-05-14,-15,13,,,-35,
Amador County,,06005,2020-05-15,-20,9,,,-32,
Amador County,,06005,2020-05-16,-19,12,,,-30,
Amador County,,06005,2020-05-17,-26,-5,,,-36,
Amador County,,06005,2020-05-18,-25,0,,,-35,
Amador County,,06005,2020-05-19,-15,3,,,-29,
Amador County,,06005,2020-05-20,-14,5,,,-31,
Amador County,,06005,2020-05-21,-10,14,,,-31,
Amador County,,06005,2020-05-22,-11,13,,,-32,
Amador County,,06005,2020-05-23,-11,20,,,-25,
Amador County,,06005,2020-05-24,1,22,,,-31,
Amador County,,06005,2020-05-25,-12,4,,,-60,
Amador County,,06005,2020-05-26,-8,11,,,-28,
Amador County,,06005,2020-05-27,-14,8,,,-31,
Amador County,,06005,2020-05-28,-13,13,,,-30,
Amador County,,06005,2020-05-29,-14,11,,,-28,
Amador County,,06005,2020-05-30,-18,8,,,-21,
Amador County,,06005,2020-05-31,-5,7,,,-25,
Amador County,,06005,2020-06-01,-5,11,,,-29,
Amador County,,06005,2020-06-02,-4,15,,,-26,
Amador County,,06005,2020-06-03,-8,8,,,-27,
Amador County,,06005,2020-06-04,-9,17,,,-27,
Amador County,,06005,2020-06-05,-11,14,,,-25,
Amador County,,06005,2020-06-06,-11,16,,,-23,
Amador County,,06005,2020-06-07,-1,17,,,-26,
Amador County,,06005,2020-06-08,-6,13,,,-27,
Amador County,,06005,2020-06-09,-1,18,,,-26,
Amador County,,06005,2020-06-10,1,6,,,-27,
Amador County,,06005,2020-06-11,5,11,,,-28,
Amador County,,06005,2020-06-12,-4,7,,,-27,
Amador County,,06005,2020-06-13,-3,9,,,-18,
Amador County,,06005,2020-06-14,13,8,,,-19,
Amador County,,06005,2020-06-15,3,6,,,-30,
Amador County,,06005,2020-06-16,11,14,,,-23,
Amador County,,06005,2020-06-17,8,10,,,-27,
Amador County,,06005,2020-06-18,5,20,,,-27,
Amador County,,06005,2020-06-19,1,14,,,-26,
Amador County,,06005,2020-06-20,1,18,,,-14,
Amador County,,06005,2020-06-21,10,18,,,-20,
Amador County,,06005,2020-06-22,3,5,,,-30,
Amador County,,06005,2020-06-23,5,13,,,-25,
Butte County,,06007,2020-02-15,4,5,28,-4,-2,-1
Butte County,,06007,2020-02-16,9,6,41,-8,0,-1
Butte County,,06007,2020-02-17,4,0,36,-13,-27,6
Butte County,,06007,2020-02-18,3,5,26,1,0,-1
Butte County,,06007,2020-02-19,2,7,22,-2,-1,0
Butte County,,06007,2020-02-20,4,1,18,3,-1,-1
Butte County,,06007,2020-02-21,3,2,16,4,2,0
Butte County,,06007,2020-02-22,7,5,40,7,2,-1
Butte County,,06007,2020-02-23,10,6,49,-9,2,-1
Butte County,,06007,2020-02-24,4,4,21,-2,8,-1
Butte County,,06007,2020-02-25,4,1,30,5,4,-1
Butte County,,06007,2020-02-26,7,6,36,4,3,-1
Butte County,,06007,2020-02-27,9,8,36,-1,3,-2
Butte County,,06007,2020-02-28,8,10,22,3,6,-1
Butte County,,06007,2020-02-29,10,11,41,-3,2,-1
Butte County,,06007,2020-03-01,14,12,34,-8,5,-1
Butte County,,06007,2020-03-02,8,13,16,-4,8,-1
Butte County,,06007,2020-03-03,13,14,31,5,4,-2
Butte County,,06007,2020-03-04,9,10,40,-14,3,-1
Butte County,,06007,2020-03-05,8,11,29,-4,2,-2
Butte County,,06007,2020-03-06,6,5,13,-2,6,0
Butte County,,06007,2020-03-07,8,4,-5,-1,-1,1
Butte County,,06007,2020-03-08,8,7,25,-13,3,0
Butte County,,06007,2020-03-09,5,8,26,-4,6,0
Butte County,,06007,2020-03-10,5,11,41,0,3,-1
Butte County,,06007,2020-03-11,5,12,37,-7,1,-1
Butte County,,06007,2020-03-12,6,14,32,-2,0,-1
Butte County,,06007,2020-03-13,2,16,14,-4,-1,1
Butte County,,06007,2020-03-14,-6,11,-17,-9,-4,3
Butte County,,06007,2020-03-15,-10,5,-27,-30,-7,4
Butte County,,06007,2020-03-16,-5,15,-22,-29,-17,6
Butte County,,06007,2020-03-17,-18,5,-32,-35,-25,9
Butte County,,06007,2020-03-18,-20,2,-15,-32,-28,9
Butte County,,06007,2020-03-19,-17,9,28,-32,-30,9
Butte County,,06007,2020-03-20,-31,2,-10,-39,-34,14
Butte County,,06007,2020-03-21,-38,-3,-10,-37,-24,9
Butte County,,06007,2020-03-22,-39,-7,9,-38,-29,8
Butte County,,06007,2020-03-23,-35,-12,-25,-45,-36,14
Butte County,,06007,2020-03-24,-40,-16,-47,-53,-42,16
Butte County,,06007,2020-03-25,-40,-15,-29,-52,-43,16
Butte County,,06007,2020-03-26,-38,-14,-4,-49,-43,15
Butte County,,06007,2020-03-27,-41,-13,-28,-43,-40,17
Butte County,,06007,2020-03-28,-46,-16,-51,-47,-34,13
Butte County,,06007,2020-03-29,-45,-16,-23,-45,-34,11
Butte County,,06007,2020-03-30,-36,-18,-33,-49,-40,15
Butte County,,06007,2020-03-31,-35,-14,-6,-46,-45,14
Butte County,,06007,2020-04-01,-30,-7,-13,-48,-44,14
Butte County,,06007,2020-04-02,-33,-11,-11,-48,-44,15
Butte County,,06007,2020-04-03,-33,-7,-20,-45,-40,15
Butte County,,06007,2020-04-04,-46,-20,-68,-50,-36,14
Butte County,,06007,2020-04-05,-47,-23,-63,-53,-38,12
Butte County,,06007,2020-04-06,-33,-15,-28,-45,-41,15
Butte County,,06007,2020-04-07,-35,-12,-11,-47,-44,15
Butte County,,06007,2020-04-08,-36,-13,-16,-49,-45,15
Butte County,,06007,2020-04-09,-37,-14,-30,-51,-46,16
Butte County,,06007,2020-04-10,-35,-10,-18,-47,-44,17
Butte County,,06007,2020-04-11,-35,-1,-22,-34,-31,10
Butte County,,06007,2020-04-12,-53,-22,-10,,-37,9
Butte County,,06007,2020-04-13,-32,-16,-16,,-41,14
Butte County,,06007,2020-04-14,-33,-16,0,,-43,14
Butte County,,06007,2020-04-15,-33,-7,-9,,-43,14
Butte County,,06007,2020-04-16,-43,-5,-8,,-43,14
Butte County,,06007,2020-04-17,-47,-7,-19,,-40,16
Butte County,,06007,2020-04-18,-46,-2,-23,,-26,10
Butte County,,06007,2020-04-19,-45,-4,2,,-29,8
Butte County,,06007,2020-04-20,-42,-6,-15,,-38,14
Butte County,,06007,2020-04-21,-41,-4,4,,-41,13
Butte County,,06007,2020-04-22,-42,-2,-2,,-42,14
Butte County,,06007,2020-04-23,-42,-4,-2,,-43,14
Butte County,,06007,2020-04-24,-44,-3,-13,,-39,15
Butte County,,06007,2020-04-25,-45,-1,-10,,-28,9
