county,date,retailandrec,groceryandpharm,parks,transit,work,residential,confirmed_cases,deaths,new_confirmed_cases,new_deaths
Alameda,2020-02-20,1.0,1.0,13.0,2.0,0.0,0.0,0,0,0.0,0.0
Alameda,2020-02-21,1.0,1.0,8.0,-1.0,3.0,0.0,0,0,0.0,0.0
Alameda,2020-02-26,2.0,2.0,20.0,3.0,2.0,-1.0,0,0,0.0,0.0
Alameda,2020-02-28,3.0,5.0,8.0,0.0,4.0,0.0,0,0,0.0,0.0
Alameda,2020-02-29,2.0,7.0,14.0,-4.0,3.0,-1.0,0,0,0.0,0.0
Alameda,2020-03-01,6.0,9.0,15.0,1.0,4.0,0.0,1,0,1.0,0.0
Alameda,2020-03-02,4.0,7.0,7.0,-1.0,3.0,0.0,1,0,0.0,0.0
Alameda,2020-03-03,5.0,12.0,41.0,0.0,1.0,-1.0,2,0,1.0,0.0
Alameda,2020-03-04,1.0,6.0,23.0,-3.0,1.0,0.0,2,0,0.0,0.0
Alameda,2020-03-05,1.0,6.0,12.0,-5.0,-1.0,1.0,2,0,0.0,0.0
Alameda,2020-03-06,1.0,5.0,-1.0,-7.0,0.0,2.0,3,0,1.0,0.0
Alameda,2020-03-07,-6.0,4.0,-23.0,-14.0,1.0,3.0,3,0,0.0,0.0
Alameda,2020-03-08,-2.0,4.0,14.0,-8.0,1.0,1.0,3,0,0.0,0.0
Alameda,2020-03-09,0.0,6.0,18.0,-15.0,-6.0,4.0,3,0,0.0,0.0
Alameda,2020-03-10,-1.0,8.0,29.0,-15.0,-9.0,4.0,5,0,2.0,0.0
Alameda,2020-03-11,-1.0,7.0,31.0,-18.0,-12.0,5.0,5,0,0.0,0.0
Alameda,2020-03-12,-1.0,16.0,26.0,-25.0,-16.0,7.0,9,0,4.0,0.0
Alameda,2020-03-13,-6.0,26.0,3.0,-30.0,-17.0,8.0,9,0,0.0,0.0
Alameda,2020-03-14,-25.0,11.0,-55.0,-39.0,-8.0,9.0,10,0,1.0,0.0
Alameda,2020-03-15,-25.0,6.0,-41.0,-36.0,-11.0,8.0,18,0,8.0,0.0
Alameda,2020-03-16,-6.0,39.0,-18.0,-44.0,-36.0,14.0,21,0,3.0,0.0
Alameda,2020-03-17,-44.0,-4.0,-10.0,-61.0,-59.0,26.0,30,0,9.0,0.0
Alameda,2020-03-18,-46.0,-10.0,-10.0,-64.0,-60.0,27.0,34,0,4.0,0.0
Alameda,2020-03-19,-45.0,-9.0,16.0,-66.0,-61.0,27.0,38,0,4.0,0.0
Alameda,2020-03-20,-49.0,-10.0,0.0,-65.0,-59.0,28.0,50,0,12.0,0.0
Alameda,2020-03-21,-58.0,-18.0,-10.0,-60.0,-39.0,18.0,71,0,21.0,0.0
Alameda,2020-03-22,-57.0,-24.0,-1.0,-61.0,-40.0,15.0,105,0,34.0,0.0
Alameda,2020-03-23,-49.0,-23.0,-23.0,-71.0,-63.0,28.0,122,1,17.0,1.0
Alameda,2020-03-24,-51.0,-21.0,-33.0,-72.0,-65.0,30.0,135,2,13.0,1.0
Alameda,2020-03-25,-49.0,-20.0,-4.0,-70.0,-64.0,29.0,135,2,0.0,0.0
Alameda,2020-03-26,-49.0,-19.0,-2.0,-71.0,-64.0,29.0,178,4,43.0,2.0
Alameda,2020-03-27,-52.0,-20.0,-11.0,-70.0,-62.0,30.0,220,4,42.0,0.0
Alameda,2020-03-28,-61.0,-26.0,-49.0,-68.0,-44.0,20.0,256,6,36.0,2.0
Alameda,2020-03-29,-58.0,-27.0,-14.0,-64.0,-44.0,17.0,270,7,14.0,1.0
Alameda,2020-03-30,-48.0,-23.0,-1.0,-71.0,-64.0,27.0,283,7,13.0,0.0
Alameda,2020-03-31,-48.0,-18.0,6.0,-70.0,-66.0,28.0,313,7,30.0,0.0
Alameda,2020-04-01,-48.0,-18.0,0.0,-70.0,-65.0,28.0,359,8,46.0,1.0
Alameda,2020-04-02,-49.0,-18.0,-1.0,-72.0,-66.0,29.0,396,9,37.0,1.0
Alameda,2020-04-03,-51.0,-17.0,-10.0,-70.0,-64.0,30.0,443,12,47.0,3.0
Alameda,2020-04-04,-62.0,-28.0,-60.0,-69.0,-47.0,21.0,537,12,94.0,0.0
Alameda,2020-04-05,-65.0,-36.0,-61.0,-72.0,-49.0,18.0,566,12,29.0,0.0
Alameda,2020-04-06,-53.0,-29.0,-46.0,-75.0,-67.0,30.0,588,13,22.0,1.0
Alameda,2020-04-07,-50.0,-20.0,4.0,-70.0,-66.0,29.0,634,15,46.0,2.0
Alameda,2020-04-08,-53.0,-24.0,-13.0,-71.0,-66.0,29.0,674,16,40.0,1.0
Alameda,2020-04-09,-53.0,-23.0,-11.0,-72.0,-67.0,30.0,715,17,41.0,1.0
Alameda,2020-04-10,-53.0,-21.0,-6.0,-70.0,-65.0,31.0,768,20,53.0,3.0
Alameda,2020-04-11,-59.0,-23.0,-30.0,-65.0,-45.0,19.0,808,21,40.0,1.0
Alameda,2020-04-12,-67.0,-38.0,-22.0,-65.0,-46.0,16.0,845,23,37.0,2.0
Alameda,2020-04-13,-51.0,-28.0,-2.0,-70.0,-65.0,28.0,888,23,43.0,0.0
Alameda,2020-04-14,-50.0,-23.0,12.0,-68.0,-65.0,29.0,887,23,-1.0,0.0
Alameda,2020-04-15,-54.0,-22.0,3.0,-68.0,-64.0,28.0,964,36,77.0,13.0
Alameda,2020-04-16,-64.0,-22.0,-8.0,-71.0,-65.0,30.0,1009,39,45.0,3.0
Alameda,2020-04-17,-65.0,-21.0,-15.0,-70.0,-62.0,30.0,1063,40,54.0,1.0
Alameda,2020-04-18,-69.0,-21.0,-12.0,-61.0,-40.0,18.0,1114,41,51.0,1.0
Alameda,2020-04-19,-68.0,-27.0,-3.0,-63.0,-41.0,15.0,1164,42,50.0,1.0
Alameda,2020-04-20,-63.0,-25.0,-13.0,-70.0,-64.0,28.0,1193,42,29.0,0.0
Alameda,2020-04-21,-63.0,-21.0,6.0,-70.0,-64.0,29.0,1241,43,48.0,1.0
Alameda,2020-04-22,-63.0,-23.0,10.0,-69.0,-64.0,28.0,1282,45,41.0,2.0
Alameda,2020-04-23,-62.0,-21.0,10.0,-70.0,-64.0,29.0,1352,46,70.0,1.0
Alameda,2020-04-24,-64.0,-20.0,5.0,-68.0,-61.0,29.0,1403,48,51.0,2.0
Alameda,2020-04-25,-67.0,-21.0,-3.0,-60.0,-39.0,18.0,1439,52,36.0,4.0
Alameda,2020-04-26,-66.0,-23.0,7.0,-61.0,-40.0,15.0,1470,52,31.0,0.0
Alameda,2020-04-27,-61.0,-23.0,3.0,-68.0,-62.0,27.0,1500,52,30.0,0.0
Alameda,2020-04-28,-61.0,-19.0,11.0,-67.0,-64.0,20.0,1533,55,33.0,3.0
Alameda,2020-04-29,-60.0,-23.0,-4.0,-67.0,-63.0,28.0,1568,57,35.0,2.0
Alameda,2020-04-30,-57.0,-20.0,8.0,-68.0,-63.0,28.0,1603,60,35.0,3.0
Alameda,2020-05-01,-57.0,-16.0,3.0,-65.0,-60.0,28.0,1636,62,33.0,2.0
Alameda,2020-05-02,-62.0,-18.0,-7.0,-58.0,-37.0,17.0,1706,63,70.0,1.0
Alameda,2020-05-03,-60.0,-20.0,18.0,-57.0,-36.0,14.0,1749,63,43.0,0.0
Alameda,2020-05-04,-54.0,-19.0,6.0,-67.0,-60.0,26.0,1776,63,27.0,0.0
Alameda,2020-05-05,-54.0,-13.0,14.0,-66.0,-61.0,26.0,1809,66,33.0,3.0
Alameda,2020-05-06,-55.0,-17.0,16.0,-66.0,-61.0,26.0,1863,66,54.0,0.0
Alameda,2020-05-07,-55.0,-14.0,19.0,-66.0,-61.0,27.0,1917,67,54.0,1.0
Alameda,2020-05-08,-56.0,-11.0,10.0,-64.0,-57.0,26.0,1961,70,44.0,3.0
Alameda,2020-05-09,-58.0,-6.0,6.0,-54.0,-33.0,14.0,2023,71,62.0,1.0
Alameda,2020-05-10,-58.0,-11.0,4.0,-54.0,-32.0,11.0,2064,71,41.0,0.0
Alameda,2020-05-11,-56.0,-24.0,-20.0,-68.0,-59.0,26.0,2101,71,37.0,0.0
Alameda,2020-05-12,-55.0,-14.0,3.0,-66.0,-60.0,26.0,2133,74,32.0,3.0
Alameda,2020-05-13,-54.0,-17.0,-2.0,-65.0,-59.0,26.0,2178,76,45.0,2.0
Alameda,2020-05-14,-54.0,-15.0,4.0,-67.0,-60.0,26.0,2233,79,55.0,3.0
Alameda,2020-05-15,-55.0,-14.0,14.0,-65.0,-56.0,25.0,2300,82,67.0,3.0
Alameda,2020-05-16,-58.0,-15.0,18.0,-56.0,-31.0,14.0,2351,83,51.0,1.0
