county,date,retailandrec,groceryandpharm,parks,transit,work,residential,confirmed_cases,deaths,new_confirmed_cases,new_deaths
Alameda,2020-05-17,-59.0,-22.0,-6.0,-60.0,-31.0,14.0,2392,83,41.0,0.0
Alameda,2020-05-18,-52.0,-18.0,1.0,-68.0,-58.0,25.0,2457,83,65.0,0.0
Alameda,2020-05-19,-51.0,-13.0,16.0,-66.0,-58.0,25.0,2522,86,65.0,3.0
Alameda,2020-05-20,-50.0,-14.0,19.0,-65.0,-57.0,25.0,2560,88,38.0,2.0
Alameda,2020-05-21,-49.0,-11.0,26.0,-65.0,-58.0,25.0,2609,90,49.0,2.0
Alameda,2020-05-22,-50.0,-8.0,25.0,-63.0,-54.0,24.0,2708,90,99.0,0.0
Alameda,2020-05-23,-55.0,-11.0,24.0,-54.0,-27.0,13.0,2767,92,59.0,2.0
Alameda,2020-05-24,-53.0,-15.0,38.0,-53.0,-28.0,10.0,2847,93,80.0,1.0
Alameda,2020-05-25,-52.0,-15.0,55.0,-72.0,-79.0,27.0,2874,93,27.0,0.0
Alameda,2020-05-26,-48.0,-11.0,23.0,-65.0,-56.0,24.0,2986,93,112.0,0.0
Alameda,2020-05-27,-48.0,-13.0,19.0,-64.0,-55.0,24.0,3049,93,63.0,0.0
Alameda,2020-05-28,-48.0,-11.0,25.0,-64.0,-55.0,24.0,3097,94,48.0,1.0
Alameda,2020-05-29,-50.0,-12.0,21.0,-60.0,-52.0,24.0,3195,95,98.0,1.0
Alameda,2020-05-30,-56.0,-17.0,-1.0,-54.0,-20.0,14.0,3289,95,94.0,0.0
Alameda,2020-05-31,-55.0,-21.0,24.0,-50.0,-21.0,12.0,3390,96,101.0,1.0
Alameda,2020-06-01,-53.0,-21.0,7.0,-63.0,-56.0,24.0,3470,96,80.0,0.0
Alameda,2020-06-02,-53.0,-15.0,16.0,-65.0,-56.0,25.0,3515,97,45.0,1.0
Alameda,2020-06-03,-51.0,-13.0,13.0,-63.0,-55.0,24.0,3548,97,33.0,0.0
Alameda,2020-06-04,-50.0,-11.0,23.0,-64.0,-55.0,24.0,3641,97,93.0,0.0
Alameda,2020-06-05,-52.0,-11.0,11.0,-62.0,-51.0,23.0,3725,101,84.0,4.0
Alameda,2020-06-06,-55.0,-11.0,24.0,-52.0,-19.0,12.0,3805,101,80.0,0.0
Alameda,2020-06-07,-53.0,-17.0,32.0,-50.0,-21.0,10.0,3874,101,69.0,0.0
Alameda,2020-06-08,-47.0,-14.0,26.0,-61.0,-53.0,22.0,3945,101,71.0,0.0
Alameda,2020-06-09,-47.0,-9.0,40.0,-61.0,-54.0,22.0,3985,102,40.0,1.0
Alameda,2020-06-10,-47.0,-13.0,37.0,-61.0,-53.0,22.0,4033,105,48.0,3.0
Alameda,2020-06-11,-47.0,-14.0,37.0,-62.0,-54.0,23.0,4120,108,87.0,3.0
Alameda,2020-06-12,-49.0,-15.0,20.0,-60.0,-50.0,22.0,4216,109,96.0,1.0
Alameda,2020-06-13,-52.0,-14.0,33.0,-49.0,-16.0,10.0,4217,109,1.0,0.0
Alameda,2020-06-14,-52.0,-20.0,43.0,-48.0,-18.0,9.0,4320,112,103.0,3.0
Alameda,2020-06-15,-46.0,-20.0,23.0,-60.0,-52.0,21.0,4373,112,53.0,0.0
Alameda,2020-06-16,-46.0,-14.0,44.0,-60.0,-53.0,21.0,4481,112,108.0,0.0
Alameda,2020-06-17,-46.0,-15.0,40.0,-61.0,-53.0,21.0,4533,116,52.0,4.0
Alameda,2020-06-18,-44.0,-12.0,39.0,-61.0,-54.0,21.0,4638,117,105.0,1.0
Alameda,2020-06-19,-45.0,-10.0,56.0,-57.0,-50.0,19.0,4702,118,64.0,1.0
Alameda,2020-06-20,-50.0,-10.0,32.0,-49.0,-14.0,9.0,4805,118,103.0,0.0
Alameda,2020-06-21,-50.0,-15.0,35.0,-47.0,-14.0,7.0,4805,118,0.0,0.0
Alameda,2020-06-22,-44.0,-19.0,26.0,-60.0,-54.0,20.0,5007,120,202.0,2.0
Alameda,2020-06-23,-43.0,-13.0,39.0,-60.0,-54.0,21.0,5140,120,133.0,0.0
Alameda,2020-06-24,-44.0,-14.0,35.0,-60.0,-52.0,21.0,5275,122,135.0,2.0
Alameda,2020-06-25,-43.0,-13.0,38.0,-59.0,-53.0,21.0,5382,128,107.0,6.0
Alameda,2020-06-26,-46.0,-13.0,26.0,-58.0,-50.0,20.0,5493,130,111.0,2.0
Alameda,2020-06-27,-48.0,-14.0,26.0,-48.0,-17.0,10.0,5493,130,0.0,0.0
Alameda,2020-06-28,-47.0,-19.0,33.0,-49.0,-15.0,8.0,5670,133,177.0,3.0
Alameda,2020-06-29,-38.0,-16.0,27.0,-59.0,-52.0,20.0,5762,133,92.0,0.0
Alameda,2020-06-30,-37.0,-11.0,37.0,-59.0,-53.0,20.0,5964,135,202.0,2.0
Alameda,2020-07-01,-36.0,-10.0,32.0,-57.0,-53.0,20.0,6156,136,192.0,1.0
Alameda,2020-07-02,-32.0,-1.0,38.0,-57.0,-55.0,19.0,6384,138,228.0,2.0
Alameda,2020-07-03,-37.0,0.0,47.0,-60.0,-67.0,22.0,6472,140,88.0,2.0
Alameda,2020-07-04,-59.0,-19.0,20.0,-54.0,-32.0,11.0,6556,140,84.0,0.0
Alameda,2020-07-05,-47.0,-23.0,23.0,-48.0,-21.0,7.0,6855,140,299.0,0.0
Alameda,2020-07-06,-37.0,-14.0,23.0,-59.0,-55.0,20.0,6887,140,32.0,0.0
Alameda,2020-07-07,-38.0,-9.0,39.0,-58.0,-55.0,21.0,6925,140,38.0,0.0
Alameda,2020-07-08,-39.0,-12.0,33.0,-58.0,-53.0,21.0,7245,142,320.0,2.0
Alameda,2020-07-09,-38.0,-10.0,38.0,-60.0,-54.0,21.0,7407,146,162.0,4.0
Alameda,2020-07-10,-41.0,-11.0,26.0,-59.0,-50.0,20.0,7520,147,113.0,1.0
Alameda,2020-07-11,-45.0,-12.0,28.0,-49.0,-17.0,10.0,7725,148,205.0,1.0
Alameda,2020-07-12,-43.0,-15.0,35.0,-47.0,-19.0,8.0,7731,148,6.0,0.0
Alameda,2020-07-13,-38.0,-15.0,22.0,-60.0,-54.0,20.0,7976,148,245.0,0.0
Alameda,2020-07-14,-39.0,-11.0,34.0,-60.0,-54.0,21.0,8321,152,345.0,4.0
Alameda,2020-07-15,-39.0,-13.0,30.0,-61.0,-53.0,21.0,8478,154,157.0,2.0
Alameda,2020-07-16,-39.0,-12.0,34.0,-62.0,-54.0,21.0,8627,154,149.0,0.0
Alameda,2020-07-17,-41.0,-11.0,28.0,-60.0,-50.0,20.0,8858,161,231.0,7.0
Amador,2020-03-13,8.0,25.0,,,2.0,0.0,1,0,,
Amador,2020-03-14,-5.0,10.0,,,-6.0,,1,0,0.0,0.0
Amador,2020-03-15,-20.0,4.0,,,-12.0,,1,0,0.0,0.0
Amador,2020-03-16,-17.0,13.0,,,-26.0,,1,0,0.0,0.0
Amador,2020-03-17,-10.0,20.0,,,-23.0,,1,0,0.0,0.0
Amador,2020-03-18,-12.0,16.0,,,-29.0,,1,0,0.0,0.0
Amador,2020-03-19,-15.0,16.0,,,-31.0,,1,0,0.0,0.0
Amador,2020-03-20,-32.0,7.0,,,-37.0,,1,0,0.0,0.0
Amador,2020-03-21,-44.0,-5.0,,,-32.0,,2,0,1.0,0.0
Amador,2020-03-22,-41.0,-15.0,,,-39.0,,2,0,0.0,0.0
Amador,2020-03-23,-36.0,-6.0,,,-40.0,,2,0,0.0,0.0
Amador,2020-03-24,-35.0,-8.0,,,-39.0,,2,0,0.0,0.0
Amador,2020-03-25,-34.0,-19.0,,,-41.0,,2,0,0.0,0.0
Amador,2020-03-26,-30.0,-8.0,,,-43.0,,2,0,0.0,0.0
Amador,2020-03-27,-32.0,-2.0,,,-38.0,,2,0,0.0,0.0
Amador,2020-03-28,-46.0,-17.0,-50.0,,-41.0,,2,0,0.0,0.0
Amador,2020-03-29,-41.0,-20.0,,,-44.0,,2,0,0.0,0.0
Amador,2020-03-30,-32.0,-5.0,,,-39.0,,2,0,0.0,0.0
Amador,2020-03-31,-25.0,3.0,,,-41.0,,2,0,0.0,0.0
Amador,2020-04-01,-27.0,-11.0,,,-39.0,,3,0,1.0,0.0
Amador,2020-04-02,-27.0,-5.0,,,-40.0,,3,0,0.0,0.0
Amador,2020-04-03,-32.0,-15.0,,,-41.0,,3,0,0.0,0.0
Amador,2020-04-04,-49.0,-30.0,-64.0,,-41.0,,3,0,0.0,0.0
Amador,2020-04-05,-56.0,-44.0,,,-52.0,,3,0,0.0,0.0
Amador,2020-04-06,-41.0,,,,-45.0,,3,0,0.0,0.0
Amador,2020-04-07,,,,,-42.0,,3,0,0.0,0.0
Amador,2020-04-08,,-31.0,,,-43.0,,3,0,0.0,0.0
Amador,2020-04-09,-33.0,,,,-45.0,,7,0,4.0,0.0
Amador,2020-04-10,-40.0,-25.0,,,-46.0,,7,0,0.0,0.0
Amador,2020-04-11,-35.0,-26.0,,,-39.0,,7,0,0.0,0.0
Amador,2020-04-12,-62.0,-40.0,,,-52.0,,7,0,0.0,0.0
Amador,2020-04-13,-28.0,-10.0,,,-43.0,,7,0,0.0,0.0
Amador,2020-04-14,,-5.0,,,-41.0,,7,0,0.0,0.0
Amador,2020-04-15,-18.0,-1.0,,,-41.0,,7,0,0.0,0.0
Amador,2020-04-16,-30.0,2.0,,,-41.0,,7,0,0.0,0.0
Amador,2020-04-17,-38.0,0.0,,,-44.0,,7,0,0.0,0.0
Amador,2020-04-18,-38.0,-5.0,-41.0,,-41.0,,7,0,0.0,0.0
Amador,2020-04-19,-33.0,-8.0,,,-43.0,,7,0,0.0,0.0
Amador,2020-04-20,-35.0,-3.0,,,-41.0,,7,0,0.0,0.0
Amador,2020-04-21,-34.0,1.0,,,-38.0,,8,0,1.0,0.0
Amador,2020-04-22,-27.0,-1.0,,,-39.0,,8,0,0.0,0.0
Amador,2020-04-23,-31.0,4.0,,,-40.0,,8,0,0.0,0.0
Amador,2020-04-24,-34.0,-3.0,,,-44.0,,8,0,0.0,0.0
Amador,2020-04-25,-35.0,-1.0,,,-39.0,,8,0,0.0,0.0
Amador,2020-04-26,-30.0,1.0,,,-43.0,,8,0,0.0,0.0
Amador,2020-04-27,-29.0,0.0,,,-37.0,,8,0,0.0,0.0
Amador,2020-04-28,-27.0,0.0,,,-36.0,,8,0,0.0,0.0
Amador,2020-04-29,-27.0,4.0,,,-37.0,,8,0,0.0,0.0
Amador,2020-04-30,-24.0,11.0,,,-40.0,,8,0,0.0,0.0
Amador,2020-05-01,-26.0,9.0,,,-39.0,,8,0,0.0,0.0
Amador,2020-05-02,-28.0,0.0,,,-35.0,,8,0,0.0,0.0
Amador,2020-05-03,-19.0,6.0,,,-37.0,,8,0,0.0,0.0
Amador,2020-05-04,-23.0,7.0,,,-36.0,,8,0,0.0,0.0
Amador,2020-05-05,,15.0,,,-36.0,,8,0,0.0,0.0
Amador,2020-05-06,-23.0,6.0,,,-36.0,,8,0,0.0,0.0
Amador,2020-05-07,-20.0,16.0,,,-36.0,,8,0,0.0,0.0
Amador,2020-05-08,-27.0,8.0,,,-37.0,,8,0,0.0,0.0
Amador,2020-05-09,-18.0,25.0,,,-34.0,,8,0,0.0,0.0
Amador,2020-05-10,-19.0,,,,-37.0,,8,0,0.0,0.0
Amador,2020-05-11,-25.0,0.0,,,-34.0,,8,0,0.0,0.0
Amador,2020-05-12,,2.0,,,-32.0,,9,0,1.0,0.0
Amador,2020-05-13,-20.0,3.0,,,-33.0,,9,0,0.0,0.0
Amador,2020-05-14,-15.0,13.0,,,-35.0,,9,0,0.0,0.0
Amador,2020-05-15,-20.0,9.0,,,-32.0,,9,0,0.0,0.0
Amador,2020-05-16,-19.0,12.0,,,-30.0,,9,0,0.0,0.0
Amador,2020-05-17,-26.0,-5.0,,,-36.0,,9,0,0.0,0.0
Amador,2020-05-18,-25.0,0.0,,,-35.0,,10,0,1.0,0.0
Amador,2020-05-19,-15.0,3.0,,,-29.0,,10,0,0.0,0.0
Amador,2020-05-20,-14.0,5.0,,,-31.0,,10,0,0.0,0.0
Amador,2020-05-21,-10.0,14.0,,,-31.0,,10,0,0.0,0.0
Amador,2020-05-22,-11.0,13.0,,,-32.0,,10,0,0.0,0.0
Amador,2020-05-23,-11.0,20.0,,,-25.0,,10,0,0.0,0.0
Amador,2020-05-24,1.0,22.0,,,-31.0,,10,0,0.0,0.0
Amador,2020-05-25,-12.0,4.0,,,-60.0,,10,0,0.0,0.0
Amador,2020-05-26,-8.0,11.0,,,-28.0,,10,0,0.0,0.0
Amador,2020-05-27,-14.0,8.0,,,-31.0,,10,0,0.0,0.0
Amador,2020-05-28,-13.0,13.0,,,-30.0,,10,0,0.0,0.0
Amador,2020-05-29,-14.0,11.0,,,-28.0,,10,0,0.0,0.0
Amador,2020-05-30,-18.0,8.0,,,-21.0,,10,0,0.0,0.0
Amador,2020-05-31,-5.0,7.0,,,-25.0,,10,0,0.0,0.0
Amador,2020-06-01,-5.0,11.0,,,-29.0,,10,0,0.0,0.0
Amador,2020-06-02,-4.0,15.0,,,-26.0,,10,0,0.0,0.0
Amador,2020-06-03,-8.0,8.0,,,-27.0,,10,0,0.0,0.0
Amador,2020-06-04,-9.0,17.0,,,-27.0,,10,0,0.0,0.0
Amador,2020-06-05,-11.0,14.0,,,-25.0,,10,0,0.0,0.0
Amador,2020-06-06,-11.0,16.0,,,-23.0,,10,0,0.0,0.0
Amador,2020-06-07,-1.0,17.0,,,-26.0,,10,0,0.0,0.0
Amador,2020-06-08,-6.0,13.0,,,-27.0,,10,0,0.0,0.0
Amador,2020-06-09,-1.0,18.0,,,-26.0,,10,0,0.0,0.0
Amador,2020-06-10,1.0,6.0,,,-27.0,,10,0,0.0,0.0
Amador,2020-06-11,5.0,11.0,,,-28.0,,10,0,0.0,0.0
Amador,2020-06-12,-4.0,7.0,,,-27.0,,10,0,0.0,0.0
Amador,2020-06-13,-3.0,9.0,,,-18.0,,10,0,0.0,0.0
Amador,2020-06-14,13.0,8.0,,,-19.0,,10,0,0.0,0.0
Amador,2020-06-15,3.0,6.0,,,-30.0,,11,0,1.0,0.0
Amador,2020-06-16,11.0,14.0,,,-23.0,,12,0,1.0,0.0
Amador,2020-06-17,8.0,10.0,,,-27.0,,12,0,0.0,0.0
Amador,2020-06-18,5.0,20.0,,,-27.0,,12,0,0.0,0.0
Amador,2020-06-19,1.0,14.0,,,-26.0,,12,0,0.0,0.0
Amador,2020-06-20,1.0,18.0,,,-14.0,,13,0,1.0,0.0
Amador,2020-06-21,10.0,18.0,,,-20.0,,13,0,0.0,0.0
Amador,2020-06-22,3.0,5.0,,,-30.0,,14,0,1.0,0.0
Amador,2020-06-23,5.0,13.0,,,-25.0,,16,0,2.0,0.0
Amador,2020-06-24,3.0,9.0,,,-28.0,,19,0,3.0,0.0
Amador,2020-06-25,5.0,14.0,,,-28.0,,20,0,1.0,0.0
Amador,2020-06-26,-1.0,4.0,,,-29.0,,20,0,0.0,0.0
Amador,2020-06-27,-4.0,11.0,,,-19.0,,20,0,0.0,0.0
Amador,2020-06-28,11.0,15.0,,,-18.0,,21,0,1.0,0.0
Amador,2020-06-29,6.0,9.0,,,-28.0,,22,0,1.0,0.0
Amador,2020-06-30,11.0,11.0,,,-22.0,,22,0,0.0,0.0
Amador,2020-07-01,9.0,15.0,,,-25.0,,24,0,2.0,0.0
Amador,2020-07-02,19.0,24.0,,,-27.0,,26,0,2.0,0.0
Amador,2020-07-03,14.0,34.0,,,-43.0,,31,0,5.0,0.0
Amador,2020-07-04,-26.0,7.0,,,-23.0,,31,0,0.0,0.0
Amador,2020-07-05,-1.0,4.0,,,-18.0,,33,0,2.0,0.0
Amador,2020-07-06,6.0,11.0,,,-30.0,,33,0,0.0,0.0
Amador,2020-07-07,7.0,16.0,,,-24.0,,34,0,1.0,0.0
Amador,2020-07-08,4.0,5.0,,,-25.0,,35,0,1.0,0.0
Amador,2020-07-09,2.0,11.0,,,-27.0,,36,0,1.0,0.0
Amador,2020-07-10,-5.0,8.0,,,-24.0,,37,0,1.0,0.0
Amador,2020-07-11,-8.0,16.0,,,-15.0,,40,0,3.0,0.0
Amador,2020-07-12,0.0,8.0,,,-17.0,,40,0,0.0,0.0
Amador,2020-07-13,4.0,6.0,,,-27.0,,40,0,0.0,0.0
Amador,2020-07-14,0.0,10.0,,,-26.0,,45,0,5.0,0.0
Amador,2020-07-15,-1.0,7.0,,,-27.0,,48,0,3.0,0.0
Amador,2020-07-16,-2.0,13.0,,,-29.0,,49,0,1.0,0.0
Amador,2020-07-17,-10.0,13.0,,,-30.0,,51,0,2.0,0.0
Butte,2020-03-21,-38.0,-3.0,-10.0,-37.0,-24.0,9.0,1,0,,
Butte,2020-03-22,-39.0,-7.0,9.0,-38.0,-29.0,8.0,2,0,1.0,0.0
Butte,2020-03-23,-35.0,-12.0,-25.0,-45.0,-36.0,14.0,3,0,1.0,0.0
Butte,2020-03-24,-40.0,-16.0,-47.0,-53.0,-42.0,16.0,4,0,1.0,0.0
Butte,2020-03-25,-40.0,-15.0,-29.0,-52.0,-43.0,16.0,4,0,0.0,0.0
Butte,2020-03-26,-38.0,-14.0,-4.0,-49.0,-43.0,15.0,5,0,1.0,0.0
Butte,2020-03-27,-41.0,-13.0,-28.0,-43.0,-40.0,17.0,5,0,0.0,0.0
Butte,2020-03-28,-46.0,-16.0,-51.0,-47.0,-34.0,13.0,5,0,0.0,0.0
Butte,2020-03-29,-45.0,-16.0,-23.0,-45.0,-34.0,11.0,5,0,0.0,0.0
Butte,2020-03-30,-36.0,-18.0,-33.0,-49.0,-40.0,15.0,8,0,3.0,0.0
Butte,2020-03-31,-35.0,-14.0,-6.0,-46.0,-45.0,14.0,8,0,0.0,0.0
Butte,2020-04-01,-30.0,-7.0,-13.0,-48.0,-44.0,14.0,9,0,1.0,0.0
Butte,2020-04-02,-33.0,-11.0,-11.0,-48.0,-44.0,15.0,10,0,1.0,0.0
Butte,2020-04-03,-33.0,-7.0,-20.0,-45.0,-40.0,15.0,11,0,1.0,0.0
Butte,2020-04-04,-46.0,-20.0,-68.0,-50.0,-36.0,14.0,11,0,0.0,0.0
Butte,2020-04-05,-47.0,-23.0,-63.0,-53.0,-38.0,12.0,11,0,0.0,0.0
Butte,2020-04-06,-33.0,-15.0,-28.0,-45.0,-41.0,15.0,12,0,1.0,0.0
Butte,2020-04-07,-35.0,-12.0,-11.0,-47.0,-44.0,15.0,13,0,1.0,0.0
Butte,2020-04-08,-36.0,-13.0,-16.0,-49.0,-45.0,15.0,13,0,0.0,0.0
Butte,2020-04-09,-37.0,-14.0,-30.0,-51.0,-46.0,16.0,13,0,0.0,0.0
Butte,2020-04-10,-35.0,-10.0,-18.0,-47.0,-44.0,17.0,14,0,1.0,0.0
Butte,2020-04-11,-35.0,-1.0,-22.0,-34.0,-31.0,10.0,14,0,0.0,0.0
Butte,2020-04-12,-53.0,-22.0,-10.0,,-37.0,9.0,14,0,0.0,0.0
Butte,2020-04-13,-32.0,-16.0,-16.0,,-41.0,14.0,15,0,1.0,0.0
